Stock_Level_s,Service_Level_alpha,Max_Lambda_Capacity
3,0.7,1.9137757941270632
3,0.71,1.8767241606994294
3,0.72,1.8395820174800224
3,0.73,1.8023190549341248
3,0.74,1.764903027255609
3,0.75,1.7272994178605194
3,0.76,1.689471046133551
3,0.77,1.6513776010929626
3,0.78,1.6129750834753798
3,0.79,1.5742151321000708
3,0.8,1.5350442026446434
3,0.81,1.495402556227815
3,0.82,1.4552230000584494
3,0.83,1.4144293007183688
3,0.84,1.3729341589957869
3,0.85,1.3306365880734528
3,0.86,1.2874184651700298
3,0.87,1.2431399148416926
3,0.88,1.1976330025646917
3,0.89,1.1506929195885254
3,0.9,1.1020653282493227
3,0.91,1.051427618283936
3,0.92,0.9983600902486391
3,0.93,0.942299602894154
3,0.94,0.8824607048705603
3,0.95,0.8176914471639982
3,0.96,0.7461833526792366
3,0.97,0.6648041078017898
3,0.98,0.5672096216974221
3,0.99,0.436045165078293
4,0.5,3.6720607488508956
4,0.51,3.624600888361394
4,0.52,3.577526024217919
4,0.53,3.530806196164642
4,0.54,3.484412214015532
4,0.55,3.4383155331405586
4,0.56,3.3924881340106254
4,0.57,3.346902404476686
4,0.58,3.3015310234808184
4,0.59,3.2563468448915134
4,0.6,3.2113227801209585
4,0.61,3.166431678116299
4,0.62,3.1216462012168913
4,0.63,3.0769386952301403
4,0.64,3.032281051893378
4,0.65,2.987644561649473
4,0.66,2.9429997543577686
4,0.67,2.8983162251744585
4,0.68,2.853562442347146
4,0.69,2.808705533050943
4,0.7,2.7637110426126483
4,0.71,2.718542661478598
4,0.72,2.673161913017989
4,0.73,2.627527793631679
4,0.74,2.581596354540824
4,0.75,2.5353202119001446
4,0.76,2.488647968293765
4,0.77,2.441523523913949
4,0.78,2.3938852493411336
4,0.79,2.345664983193506
4,0.8,2.296786806028084
4,0.81,2.2471655253304803
4,0.82,2.196704783044385
4,0.83,2.1452946634903367
4,0.84,2.0928086303580904
4,0.85,2.0390995480558147
4,0.86,1.9839944306295094
4,0.87,1.9272873859968418
4,0.88,1.8687299405880722
4,0.89,1.808017459208855
4,0.9,1.7447695628249111
4,0.91,1.6785009825126662
4,0.92,1.6085765087672834
4,0.93,1.534138088965135
4,0.94,1.4539799363580932
4,0.95,1.3663183967498316
4,0.96,1.2683246907878358
4,0.97,1.155037372347213
4,0.98,1.0162384590410949
4,0.99,0.8232486863453863
